id,taxon,type,value
451,01g__Candida,mpost,-0.07322064
452,02g__unknown_Saccharomycetales,mpost,1.025391649
453,03g__unknown_Fungi,mpost,5.199778919
454,04s__Candida_albicans,mpost,-0.055041722
455,05s__unknown_Saccharomycetales,mpost,1.043570566
456,05s__unknown_Fungi,mpost,5.217957836
457,06ASV_2_Candida_albicans,mpost,-0.011464064
458,07ASV_5_unknown_Saccharomycetales,mpost,1.087148225
459,08ASV_4_unknown_Fungi,mpost,4.679883818
460,09ASV_8_unknown_Fungi,mpost,-0.011464064
461,01g__Candida,mpre,2.836718483
462,02g__unknown_Saccharomycetales,mpre,-0.107720496
463,03g__unknown_Fungi,mpre,4.797554283
464,04s__Candida_albicans,mpre,2.863462882
465,05s__unknown_Saccharomycetales,mpre,-0.080976097
466,05s__unknown_Fungi,mpre,4.824298682
467,06ASV_2_Candida_albicans,mpre,-0.014507276
468,07ASV_5_unknown_Saccharomycetales,mpre,-0.014507276
469,08ASV_4_unknown_Fungi,mpre,4.845305128
470,09ASV_8_unknown_Fungi,mpre,-0.014507276
471,01g__Candida,mpost,-0.09522253
472,02g__unknown_Saccharomycetales,mpost,1.514215382
473,03g__unknown_Fungi,mpost,3.618349537
474,04s__Candida_albicans,mpost,-0.071581074
475,05s__unknown_Saccharomycetales,mpost,1.537856838
476,05s__unknown_Fungi,mpost,3.641990992
477,06ASV_2_Candida_albicans,mpost,-0.010028266
478,07ASV_5_unknown_Saccharomycetales,mpost,1.599409646
479,08ASV_4_unknown_Fungi,mpost,-0.010028266
480,09ASV_8_unknown_Fungi,mpost,-0.010028266
481,01g__Candida,mpre,-0.048654173
482,02g__unknown_Saccharomycetales,mpre,-0.048654173
483,03g__unknown_Fungi,mpre,5.254650735
484,04s__Candida_albicans,mpre,-0.036574517
485,05s__unknown_Saccharomycetales,mpre,-0.036574517
486,05s__unknown_Fungi,mpre,5.266730391
487,06ASV_2_Candida_albicans,mpre,-0.013457492
488,07ASV_5_unknown_Saccharomycetales,mpre,-0.013457492
489,08ASV_4_unknown_Fungi,mpre,4.814856245
490,09ASV_8_unknown_Fungi,mpre,-0.013457492
491,01g__Candida,mpre,-0.048654173
492,02g__unknown_Saccharomycetales,mpre,-0.048654173
493,03g__unknown_Fungi,mpre,5.254650735
494,04s__Candida_albicans,mpre,-0.036574517
495,05s__unknown_Saccharomycetales,mpre,-0.036574517
496,05s__unknown_Fungi,mpre,5.266730391
497,06ASV_2_Candida_albicans,mpre,-0.018879811
498,07ASV_5_unknown_Saccharomycetales,mpre,-0.018879811
499,08ASV_4_unknown_Fungi,mpre,4.871469318
500,09ASV_8_unknown_Fungi,mpre,-0.018879811
501,01g__Candida,mpost,-0.085601106
502,02g__unknown_Saccharomycetales,mpost,2.958921332
503,03g__unknown_Fungi,mpost,-0.085601106
504,04s__Candida_albicans,mpost,-0.064348417
505,05s__unknown_Saccharomycetales,mpost,2.98017402
506,05s__unknown_Fungi,mpost,-0.064348417
507,06ASV_2_Candida_albicans,mpost,-0.009014996
508,07ASV_5_unknown_Saccharomycetales,mpost,3.035507442
509,08ASV_4_unknown_Fungi,mpost,-0.009014996
510,09ASV_8_unknown_Fungi,mpost,-0.009014996
511,01g__Candida,mpre,-0.075624032
512,02g__unknown_Saccharomycetales,mpre,-0.075624032
513,03g__unknown_Fungi,mpre,5.122872999
514,04s__Candida_albicans,mpre,-0.05684841
515,05s__unknown_Saccharomycetales,mpre,-0.05684841
516,05s__unknown_Fungi,mpre,5.141648621
517,06ASV_2_Candida_albicans,mpre,-0.012947974
